"id","nome","telefone","tipo_telefone","bairro","categoria","instagram","email","fonte_email","status_email","data_coleta"
"11","Escola de Música Estúdio Musical","+55 11 3667-1600","fixo","Higienópolis","Escola de Música","https://www.instagram.com/escolademusicaestudiomusical","estudiomusical@estudiomusical.com.br","apify-google-maps-contact-enrichment","encontrado","2026-09-09"
"12","School of Rock Vila Mascote","+55 11 91082-5264","celular","Vila Alexandria","Escola de Música","https://instagram.com/schoolofrock.vilamascote;https://www.instagram.com/schoolofrock.brasil","vilamascote@schoolofrock.com","apify-google-maps-contact-enrichment","encontrado","2026-09-09"
"13","Escola de Música Espaço Musical Ricardo Breim","+55 11 98666-0064","celular","Sumarezinho","Escola de Música","https://www.instagram.com/espacomusicalricardobreim;https://instagram.com/espacomusicalricardobreim","contato@espacomusical.com.br","apify-google-maps-contact-enrichment","encontrado","2026-09-09"
"14","Escola de Música KIM (Kethelin Instituto Musical)","+55 11 99307-0645","celular","Tucuruvi","Escola de Música","https://www.instagram.com/escolademusicakim","escolademusicakim@hotmail.com","apify-google-maps-contact-enrichment","encontrado","2026-09-09"
"15","Sônica MUSICA & ARTE","+55 11 95140-0208","celular","Lauzane Paulista","Escola de Música","","vozoficinacantoevoz@gmail.com","apify-google-maps-contact-enrichment","encontrado","2026-09-09"
"16","School of Rock Vila Mariana","+55 11 99320-7507","celular","Jardim Vila Mariana","Escola de Música","https://instagram.com/schoolofrockvilamariana;https://www.instagram.com/schoolofrock.brasil","vilamariana@schoolofrock.com","apify-google-maps-contact-enrichment","encontrado","2026-09-09"
"17","Bateras Beat Perdizes - Escola de Música","+55 11 94873-3608","celular","Perdizes","Escola de Música","https://www.instagram.com/baterasbeatperdizes","perdizes@baterasbeat.com.br","apify-google-maps-contact-enrichment","encontrado","2026-09-09"
"18","Felipe Ritzel | Moema (SP) | Aulas de Guitarra e Violão","+55 11 99583-5679","celular","Indianópolis","Escola de Música","https://www.instagram.com/frguitarcenter","feliperitzel@gmail.com","apify-google-maps-contact-enrichment","encontrado","2026-09-09"
"19","JAM - Arte e Música","+55 11 96882-9420","celular","Santana","Escola de Música","https://instagram.com/escolajam;https://www.instagram.com/gabriel_de_sa_esteves;https://www.instagram.com/themerex_net;https://www.instagram.com/rodneiteixeirafrancisco;https://www.instagram.com/zulmirafreire","contato@escolajam.com.br","apify-google-maps-contact-enrichment","encontrado","2026-09-09"
"20","BEG - Escola de Música & Artes | Freguesia do Ó","+55 11 3977-0066","fixo","Moinho Velho","Escola de Música","","begmusica@gmail.com","apify-google-maps-contact-enrichment","encontrado","2026-09-09"
"21","Dedilharia Escola de Música","+55 11 95389-2791","celular","Centro Histórico de São Paulo","Escola de Música","https://www.instagram.com/dedilhariaescola","dedilhariamusica@gmail.com","apify-google-maps-contact-enrichment","encontrado","2026-09-09"
"22","Nina Pará Drum School - Escola de Bateria","+55 11 96372-9581","celular","Mirandópolis","Escola de Música","https://www.instagram.com/ninabatera","ninabatera@gmail.com","apify-google-maps-contact-enrichment","encontrado","2026-09-09"
"23","Lucas Pereira HOMESTUDIO Aulas de Bateria / Violão / Gravações","+55 11 95470-1264","celular","Vila Madalena","Escola de Música","","lucasbpereira23@gmail.com","apify-google-maps-contact-enrichment","encontrado","2026-09-09"
"24","Encantar Música e Movimento | Escola de Música em Pinheiros","+55 11 94154-9152","celular","Pinheiros","Escola de Música","","contato@encantarmusicaemovimento.com.br","apify-google-maps-contact-enrichment","encontrado","2026-09-09"
"25","DJ Escola","+55 11 99143-1000","celular","Morumbi","Escola de Música","","atendimento@escoladedj.com.br","apify-google-maps-contact-enrichment","encontrado","2026-09-09"
"26","CLM&Art's - Escola de Música - Piano - Violão - Canto - Guitarra - Bateria - Violino - Sax","+55 11 97568-5017","celular","Cidade dos Bandeirantes","Escola de Música","http://instagram.com/clmearts","andregagliardi011@gmail.com","apify-google-maps-contact-enrichment","encontrado","2026-09-09"
"27","Inplay Escola De Música - Unidade 2","+55 11 98258-8657","celular","Jardim Taquaral","Escola de Música","https://www.instagram.com/musicinplay","unidade1@inplay.com.br;unidade2@inplay.com.br","apify-google-maps-contact-enrichment","encontrado","2026-09-09"
"28","Companhia da Música","+55 11 2959-0606","fixo","Santana","Escola de Música","https://www.instagram.com/_companhia_da_musica_","contato@companhiadamusica.com.br","apify-google-maps-contact-enrichment","encontrado","2026-09-09"
"29","Infinity Music","+55 11 99410-8841","celular","Lapa","Escola de Música","https://www.instagram.com/escolademusicainfinity","escolainfinity@escolainfinity.com.br","apify-google-maps-contact-enrichment","encontrado","2026-09-09"
"30","Casa da Música","+55 11 91877-4892","celular","Alto de Pinheiros","Escola de Música","https://www.instagram.com/damusica.casa","casadamsc@gmail.com","apify-google-maps-contact-enrichment","encontrado","2026-09-09"
"31","Marco Maia - Cursos de Música","+55 11 99405-1056","celular","Vila Anglo Brasileira","Escola de Música","","marcomaiagtr@gmail.com","apify-google-maps-contact-enrichment","encontrado","2026-09-09"
"32","Escola de música e desenho Maestro Montoro","+55 11 5515-6830","fixo","Vila Socorro","Escola de Música","https://www.instagram.com/escoladeartes.mm","maestromontoro84@gmail.com","apify-google-maps-contact-enrichment","encontrado","2026-09-09"
"33","Studio Latitude: Escola de Música","+55 11 93449-1011","celular","Vila Mariana","Escola de Música","https://www.instagram.com/studiolatitude_","contato@studiolatitude.com.br","apify-google-maps-contact-enrichment","encontrado","2026-09-09"
"34","Escola de Música - GEM","+55 11 2861-0340","fixo","Jardim Regina","Escola de Música","","hbafree@yahoo.com.br","apify-google-maps-contact-enrichment","encontrado","2026-09-09"
"35","Escola de Música e Dança Destaque - SP","+55 11 2983-2995","fixo","Tucuruvi","Escola de Música","https://www.instagram.com/destaquemusicaedanca","contato@destaquemusicaedanca.com.br","apify-google-maps-contact-enrichment","encontrado","2026-09-09"
"36","Legends Escola de Música","+55 11 97486-5248","celular","Vila Mascote","Escola de Música","https://www.instagram.com/escolalegends.oficial","contato@legends-escola-musica.br","apify-google-maps-contact-enrichment","encontrado","2026-09-09"
"37","Conservatório Santa Cecília da Capital","+55 11 3865-7488","fixo","Pompeia","Escola de Música","http://instagram.com/conservatoriosantaceciliasp","contato@conservatoriomusical.com.br","apify-google-maps-contact-enrichment","encontrado","2026-09-09"
"38","Escola de música Maestro Ciotto","+55 11 3807-4276","fixo","Belenzinho","Escola de Música","","escola@maestrociotto.com.br","apify-google-maps-contact-enrichment","encontrado","2026-09-09"
"39","Canto da Voz","+55 11 99888-5858","celular","Paraíso","Escola de Música","","cantodavoz@gmail.com","apify-google-maps-contact-enrichment","encontrado","2026-09-09"
"40","Escola de Música Centro Musical Santa Cruz - Cemusc","+55 11 2275-5959","fixo","Vila Clementino","Escola de Música","https://www.instagram.com/centromusicalsantacruz","cemusc@cemusc.com.br","apify-google-maps-contact-enrichment","encontrado","2026-09-09"
"41","Lado B Escola de Música - Itaim Bibi","+55 11 99310-3000","celular","Itaim Bibi","Escola de Música","https://instagram.com/ladobmusical","atendimento@ladobmusical.com.br","apify-google-maps-contact-enrichment","encontrado","2026-09-09"
"42","ESCOLA DE MÚSICA ELITE MUSICAL","+55 11 91340-3232","celular","Jardim Paulista","Escola de Música","","webmaster@elitemusical.com.br","apify-google-maps-contact-enrichment","encontrado","2026-09-09"
"43","Oficina de Música Sonia Silva","+55 11 3023-3451","fixo","Alto de Pinheiros","Escola de Música","https://www.instagram.com/oficinademusicasoniasilva","oficina@ofmusicasoniasilva.com.br","apify-google-maps-contact-enrichment","encontrado","2026-09-09"
"44","AULAS PARTICULARES DE PIANO E TECLADO REGINA OLIVEIRA","+55 11 99967-4605","celular","São João Climaco","Escola de Música","https://www.instagram.com/professora_regina_oliveira","reginaoliveiramusicista@yahoo.com.br","apify-google-maps-contact-enrichment","encontrado","2026-09-09"
"45","Sim Escola de Música","+55 11 98408-9777","celular","Vila Madalena","Escola de Música","https://instagram.com/simescolademusica","simescolademusica@uol.com.br","apify-google-maps-contact-enrichment","encontrado","2026-09-09"
"46","School of Rock Freguesia do Ó","+55 11 91246-1665","celular","Freguesia do Ó","Escola de Música","https://www.instagram.com/schoolofrockfreguesia;https://www.instagram.com/schoolofrock.brasil","FreguesiadoO@schoolofrock.com","apify-google-maps-contact-enrichment","encontrado","2026-09-09"
"47","CD Escola de Música - Unidade Pompéia","+55 11 94530-4436","celular","Pompeia","Escola de Música","https://www.instagram.com/centraldrummers","centraldrummers@centraldrummers.com.br","apify-google-maps-contact-enrichment","encontrado","2026-09-09"
"48","Grupo Butterfly - Escola de Inovação, arte & música","+55 11 96332-7322","celular","Santa Teresinha","Escola de Música","https://www.instagram.com/grupo_butterfly","contato@grupobutterfly.com.br","apify-google-maps-contact-enrichment","encontrado","2026-09-09"
"49","Sl 29 Escola de Música","+55 11 95913-9049","celular","Perdizes","Escola de Música","https://www.instagram.com/escolademusicasl29;https://www.instagram.com/wix","sl29escolademusica@gmail.com;info@mysite.com","apify-google-maps-contact-enrichment","encontrado","2026-09-09"
"50","Escola de Música Rm House","+55 11 94201-5756","celular","Tatuapé","Escola de Música","","escolarmhouse@gmail.com","apify-google-maps-contact-enrichment","encontrado","2026-09-09"
