id,nome,telefone,tipo_telefone,leva_origem,instagram,email,status_email,canal_planejado,enviado,data_envio,resultado
28,"IP&T Giba Favery",+55 11 94454-0293,celular,L4,,,"pendente","email","nao",,
29,"Estúdio Bemol Music",+55 11 91752-3184,celular,L4,,,"pendente","email","nao",,
30,"Instituto de Música VMusic & Luthieria",+55 11 96522-8646,celular,L4,,,"pendente","email","nao",,
31,"Núcleo Musical MG",+55 11 93290-1104,celular,L4,,,"pendente","email","nao",,
32,"Escola de Música Vila Ema",+55 11 98708-5396,celular,L4,,,"pendente","email","nao",,
33,"Escola de Música - Matsunaga Music",+55 11 98164-5836,celular,L4,,,"pendente","email","nao",,
34,"Instituto de Música Maxwell - Escola de Música Zona Leste de SP ", São Mateus,+55 11 94749-5159|celular,L4,,,"pendente","email","nao",,
35,"Br San Music School - Ipiranga/SP",+55 11 94350-8880,celular,L4,,,"pendente","email","nao",,
36,"Instituto Musical D.Cesars Escola de Música",+55 11 96935-9511,celular,L4,,,"pendente","email","nao",,
37,"Escola de musica na Vila Mariana",+55 11 93025-2748,celular,L4,,,"pendente","email","nao",,
38,"Escola de Música China D' Castro",+55 11 98199-0641,celular,L4,,,"pendente","email","nao",,
39,"Tenor Ensino de Música",+55 11 98034-1775,celular,L4,,,"pendente","email","nao",,
40,"Instituto de Bateria Moisés Cardoso",+55 11 98156-7697,celular,L4,,,"pendente","email","nao",,
41,"Hadassa Sounds",+55 11 96353-4369,celular,L4,,,"pendente","email","nao",,
42,"Mellody Música e Arte",+55 11 93734-0639,celular,L4,,,"pendente","email","nao",,
43,"Centro Ministerial de Música",+55 21 98336-2876,celular,L4,,,"pendente","email","nao",,
44,"Pianeiros - Escola de Piano e Teclas",+55 11 98805-9459,celular,L4,,,"pendente","email","nao",,
45,"ESCOLA DE MÚSICA MULTI ARTES",+55 11 94241-7151,celular,L4,,,"pendente","email","nao",,
46,"Aulas de Guitarra e Violão - EMFZ - Escola de Música Felipe Zaneripe",+55 11 98840-1023,celular,L4,,,"pendente","email","nao",,
47,"Duo Music Studio",+55 11 93737-4093,celular,L4,,,"pendente","email","nao",,
48,"Star Music - Escola de Música",+55 11 94838-7713,celular,L4,,,"pendente","email","nao",,
49,"Escola de Musica Feller",+55 11 95794-9875,celular,L4,,,"pendente","email","nao",,
50,"Escola de Música Sbrana",+55 11 98895-3385,celular,L4,,,"pendente","email","nao",,
51,"Escola de música Soul Vencedor",+55 11 96718-7704,celular,L4,,,"pendente","email","nao",,
52,"Curimba do Mestre - Mestre Muma",+55 11 99350-0229,celular,L4,,,"pendente","email","nao",,
53,"Conservatório Musical Brooklin Paulista",+55 11 97448-8343,celular,L4,,,"pendente","email","nao",,
54,"Raízes do Som - Escola de Música",+55 11 91263-9702,celular,L4,,,"pendente","email","nao",,
55,"Groove Music",+55 11 95556-0229,celular,L4,,,"pendente","email","nao",,
56,"Oreste Sinatra Conserv Dramatico Musical",+55 11 2297-0529,fixo,L4,,,"pendente","email","nao",,
57,"High Music - Academia Livre de Ensino Musical e Artístico",+55 11 3423-3680,fixo,L4,,,"pendente","email","nao",,
58,"Art & Music - Escola de Música",+55 11 3943-4703,fixo,L4,,,"pendente","email","nao",,
59,"Escola de Musica CEM Carlos Gomes",+55 11 2950-6011,fixo,L4,,,"pendente","email","nao",,
60,"El Elyon Instituto de Música",+55 11 2367-0185,fixo,L4,,,"pendente","email","nao",,
61,"Espaço Ruby Ananda",+55 11 3751-0231,fixo,L4,,,"pendente","email","nao",,
62,"Tony Music / Loja e Escola de Música",+55 11 4171-2815,fixo,L4,,,"pendente","email","nao",,
63,"LB Music Escola de Música",+55 11 5812-8330,fixo,L4,,,"pendente","email","nao",,
64,"EMBS - Escola de Música Bom Sucesso",+55 11 5524-3370,fixo,L4,,,"pendente","email","nao",,
