nome,telefone,tipo_telefone,bairro,categoria,nota,avaliacoes,fotos,place_id
"""Escola de Música Alexandre Ivo""",+55 11 99889-5254,celular,Vila Ester (Zona Norte),Aulas particulares,5,57,17,ChIJp9Ec7cj3zpQRYmcr3I6u-6A
AF MUSIC - AULAS DE GUITARRA E VIOLÃO,+55 11 97819-5881,celular,Vila Invernada,Escola de Música,5,56,3,ChIJlbmUQ9FdzpQRst5lWFKroqQ
TexMix,+55 11 99102-2584,celular,Brooklin,Estúdio de gravação,4.8,56,19,ChIJAaAPYLJQzpQRrxIx7uX9hIA
IP&T Giba Favery,+55 11 94454-0293,celular,Vila Clementino,Escola de Música,5,55,31,ChIJyfsEVQpbzpQR0ltve90QfSI
Estúdio Bemol Music,+55 11 91752-3184,celular,Residencial Sol Nascente,Escola de Música,5,53,68,ChIJv7HgMGb9zpQR_hRpn6lOeLw
Estúdio Do Bolla,+55 11 95229-0371,celular,Jardim Romano,Estúdio de gravação,4.9,50,165,ChIJucA-IxVjzpQR4U3qp28Y2v0
SG Estudio de ensaio.,+55 11 98158-6479,celular,Jardim da Gloria,,5,49,14,ChIJL1k4UQRZzpQRFPDWWQ72E3w
Instituto de Música VMusic & Luthieria,+55 11 96522-8646,celular,Parque Sao Rafael,Escola de Música,5,48,153,ChIJYdhmstFpzpQRekljm8ZGiow
Escola de Música Play Music ll,+55 11 99291-2349,celular,Jardim Maia,Escola de artes,5,44,348,ChIJVVb-eotjzpQRYAESILyG0Rw
"StudioVio | Aulas de Violão, Violino, Guitarra, Teclado e Baixo em Moema",+55 11 99947-7155,celular,Moema,Escola de Música,5,42,81,ChIJ0c51rFNQzpQRSPtmohkARrA
Núcleo Musical MG,+55 11 93290-1104,celular,Jardim Santo Andre,Escola de Música,5,42,8,ChIJ92m9JXJpzpQRFfpoLn0V3iQ
Estúdio Meia Oito,+55 11 94208-8611,celular,Vila São José,Estúdio de gravação,4.7,40,25,ChIJRWqaMcNbzpQRV7KkSOSlQqc
Escola de Música Vila Ema,+55 11 98708-5396,celular,Vila Ema,Escola de Música,5,39,4,ChIJYZo_56BdzpQRuVQgvxtmpf8
Escola de Música - Matsunaga Music,+55 11 98164-5836,celular,Jardim Soraia,Escola de Música,5,39,26,ChIJvVEY1oZTzpQRlTFtPhnaSA0
Extreme Studios,+55 11 91651-8313,celular,Jaguará,Estúdio de gravação,4.7,38,38,ChIJmRp_PNP4zpQRLwRn5rm6MeU
Instituto de Música Maxwell - Escola de Música Zona Leste de SP | São Mateus,+55 11 94749-5159,celular,Jardim Santa Adelia,Escola de Música,5,37,116,ChIJayg6j1RpzpQROkr1R9KqNUo
MRM Estúdio,+55 11 98974-2956,celular,Vila Prado,Estúdio de gravação,4.8,36,8,ChIJ-9u6wyj4zpQRttCff4P_23A
Br San Music School - Ipiranga/SP,+55 11 94350-8880,celular,Ipiranga,Escola de Música,5,36,62,ChIJNcI1mX9bzpQRLldSrS-NKyY
"Instituto Musical D.Cesar""s Escola de Música",+55 11 96935-9511,celular,Jardim Santa Fé,Escola de Música,5,34,36,ChIJW9IaHK_9zpQRhoGqGKq-dLo
Escola de musica na Vila Mariana,+55 11 93025-2748,celular,Vila Mariana,Escola de Música,5,33,46,ChIJVeYp4AVZzpQRRnm9qJDLJng
The Music Studio do Tio Lu,+55 11 98225-4739,celular,Chacara Nossa Senhora Aparecida,Estúdio de gravação,4.9,33,25,ChIJHVoPTCz5zpQRrIdp3gybQig
Aulas de Música,+55 11 94059-6898,celular,Jardim Ester Yolanda,Aulas particulares,5,32,2,ChIJ_akV4sNVzpQRny-nCoYnvlY
Escola de Música China D' Castro,+55 11 98199-0641,celular,Vila Prudente,Escola de Música,5,32,3,ChIJRTQeu8tdzpQRK8iPBlXu430
Ateliê Musical Rafael Pereira,+55 11 97131-1835,celular,Bom Retiro,Professor de música,5,31,6,ChIJd3_n68lZzpQR9DSrbF5EG8g
Resumo Produtora,+55 11 96168-1881,celular,Jardim Santa Margarida,Produtor musical,4.9,31,11,ChIJpzteBlBTzpQR_4mwzWPwTWs
Rigatti Recording Studios,+55 11 97505-1592,celular,Vila Maria Alta,Estúdio de ensaio,5,29,9,ChIJFQtHGMRfzpQRvwTO1_y7aUI
Tenor Ensino de Música,+55 11 98034-1775,celular,Jardim Santo Elias,Escola de Música,4.9,28,16,ChIJl8T-wg_5zpQRdccXk1-ynbI
Home Estúdio / ZION,+55 11 99384-2031,celular,Parque Industrial Tomas Edson,Estúdio de gravação,5,28,16,ChIJN3yKN3nnzpQRdvS0i5MXPDg
Instituto de Bateria Moisés Cardoso,+55 11 98156-7697,celular,Cidade Centenário,Escola de Música,4.6,27,9,ChIJH-vfiZNnzpQR8n75k7gZP-w
Estúdio NoCentro,+55 11 95931-1907,celular,Vila Tolstoi,Estúdio de gravação,4.8,26,7,ChIJVVWBpmpYzpQR8FYULXzlN9s
Casa do Carai,+55 27 99506-1530,celular,Moema,Produtor musical,4.8,25,15,ChIJk4bBpqpbzpQR2h3ktDmDGH0
"Aulas de Piano, Teclado, Violão e Musicalização",+55 11 98556-3996,celular,Jardim Ipanema (Zona Sul),Aulas particulares,4.6,25,4,ChIJNWRihipOzpQRUhgvv8uL4tk
Hadassa Sounds,+55 11 96353-4369,celular,Jardim Centenario,Escola de Música,4.8,25,3,ChIJiQKNCYz5zpQRiX48inl4qmg
Mellody Música e Arte,+55 11 93734-0639,celular,Vila Campo Grande,Escola de Música,5,24,7,ChIJrZ08WQBRzpQRrGM4MYl53kU
Aulas de Bateria com Iago Amadei,+55 11 99261-3607,celular,Cursino,Professor de música,5,24,10,ChIJF3uhjcibAkkRLPCs2kC8Oas
Centro Ministerial de Música,+55 21 98336-2876,celular,Cordovil,Escola de Música,5,22,251,ChIJUxPeO6d7mQARmqOT4zuV7EY
Estúdio El Rocha,+55 11 99504-1702,celular,Indianópolis,Estúdio de gravação,4.9,22,1,ChIJkbe0UZ9XzpQRdCtpami35wI
Estúdio e Produção Musical Duck Jam,+55 11 98754-4580,celular,Freguesia do Ó,Estúdio de gravação,4.8,22,63,ChIJpSk0HK35zpQR5cYpsxrb4I0
Pianeiros - Escola de Piano e Teclas,+55 11 98805-9459,celular,Vila Andrade,Escola de Música,5,22,6,ChIJD2sowb1RzpQRbcLbN6zpJq8
ESCOLA DE MÚSICA MULTI ARTES,+55 11 94241-7151,celular,Santa Cecilia,Escola de Música,5,21,98,ChIJH-CFa0BZzpQRBlFaV3ARgQU
KAZE RECORDS°,+55 11 98537-6566,celular,Jardim Brasil,Estúdio de gravação,5,21,6,ChIJzY3HE171zpQRa3lM1pWRuPM
Freak Estúdio,+55 11 99383-8369,celular,Pinheiros,Estúdio de gravação,5,20,7,ChIJr6GBuH9XzpQRI34IERsGwKQ
Espaço Sertãoperifa - Estúdio Popular,+55 11 93334-4645,celular,Recanto Campo Belo,Centro cultural,5,20,49,ChIJ-7vGUX1JzpQRfJuU6cJUfR4
Aulas de baixo e violão,+55 11 97208-7968,celular,Campos Elíseos,Professor de música,5,20,4,ChIJYZPhNPdZzpQRU65sfLCgRfk
Aulas de Guitarra e Violão - EMFZ - Escola de Música Felipe Zaneripe,+55 11 98840-1023,celular,Bela Vista,Escola de Música,5,20,4,ChIJATAsQWtdzpQRoAWT1hIpWlM
Duo Music Studio,+55 11 93737-4093,celular,Socorro,Escola de Música,5,20,7,ChIJy66kP4xRzpQRPWlCHLU1nZw
Estúdio Beco 84,+55 11 96381-1698,celular,Fundos,Estúdio de ensaio,4.9,19,24,ChIJ_-eOF-FfzpQRmHmhW_DRJRQ
Escola de Música - Henrique Santos,+55 11 97963-6020,celular,Jardim da Conquista (Zona Leste),,5,19,26,ChIJb4xBAQBpzpQR3pfo-DMmBkU
Estúdio de Bateria Mario César Bustos,+55 11 91368-3957,celular,Vila Bancaria,Escola de bateria,5,19,0,ChIJw3UfbH1nzpQRkennXSs0iCA
Star Music - Escola de Música,+55 11 94838-7713,celular,Fazenda Morumbi,Escola de Música,5,18,7,ChIJIW_UsSpXzpQRUVOff6TsHSs
Escola de Musica Feller,+55 11 95794-9875,celular,Jardim Joao XXIII,Escola de Música,4.9,18,3,ChIJ2cJSKwJVzpQRfwGrIWPbiBE
Estudios Corifeu,+55 11 93341-8090,celular,Butantã,Estúdio de gravação,4.4,18,15,ChIJOUa1FptXzpQR-M1De7TPfDw
Teovox Studio,+55 11 96077-1774,celular,Jardim dos Lagos,Estúdio de ensaio,4.9,18,14,ChIJ-fLIFTJRzpQRRs_ECAOQcwg
Escola de Música Torres,+55 11 98860-1522,celular,Tatuapé,Aulas particulares,5,17,4,ChIJOVe53l9fzpQRuJzPEzRAdsE
LéM7 Studio - Escola de Música,+55 11 92534-0770,celular,Cidade Líder,Estúdio de gravação,4.8,17,36,ChIJCSEv7p9nzpQRg6V7ihBej1M
Origem Produçōes Musicais,+55 11 95394-6571,celular,Santa Cecilia,Estúdio de gravação,5,16,27,ChIJV2668T9ZzpQRFDNdVsl4EAc
Escola de Música Sbrana,+55 11 98895-3385,celular,Lapa,Escola de Música,5,16,10,ChIJ9aoDsb35zpQRMsb3V_7ErbQ
Ninrod Studios,+55 11 96340-6620,celular,Cidade Vargas,Estúdio de gravação,4.9,16,15,ChIJTdUYL9xazpQRl_kAbuTS7Y0
Escola de música Soul Vencedor,+55 11 96718-7704,celular,Parque do Lago,Escola de Música,4.9,16,8,ChIJ_5TQ2kZSzpQR1B0PjT9LAQ4
Latoca - Produza seu Sonho,+55 11 96740-0168,celular,Moinho Velho,Produtor musical,4.9,15,43,ChIJaf2kDob5zpQR8WuOuF3PlCY
Estúdio Sunshine,+55 11 97251-4439,celular,Vila Guilherme,Estúdio de gravação,4.9,15,14,ChIJrzfriaNYzpQRoM7Gfor-3bs
Mob Studio,+55 11 98752-2168,celular,Guaianases,Estúdio de gravação,4.9,14,16,ChIJ8-1-JVFlzpQR0-K4uTXmAwI
Music7,+55 11 96090-2120,celular,Itaim Bibi,Professor de música,5,14,9,ChIJtRT5PxxXzpQRLNp7DIDzeAI
Curimba do Mestre - Mestre Muma,+55 11 99350-0229,celular,Vila Fazzeoni,Escola de Música,5,14,7,ChIJ5WkZFYlTzpQR65lYKJBcCac
W&S Records - Produtora Musical,+55 11 97668-4871,celular,Morumbi,Produtor musical,5,13,4,ChIJRXPdxJ74zpQRFVeeP0raHiY
Conservatório Musical Brooklin Paulista,+55 11 97448-8343,celular,Brooklin Novo,Escola de Música,5,13,284,ChIJAaOyobtQzpQRILrA7Y_avxM
Raízes do Som - Escola de Música,+55 11 91263-9702,celular,Lapa,Escola de Música,5,13,4,ChIJz75xUsD5zpQRPcqSVcOpjy0
Ollyver do Brasil Produções - Musical- Gospel- Vídeo Clip- Gravação,+55 11 98350-1007,celular,Cidade Tiradentes,Estúdio de gravação,4.1,13,11,ChIJnaYYeC1ZzpQR5qBSsmFTnCc
Valvulando Studio,+55 11 96347-0704,celular,Jardim Marisa,Estúdio de gravação,4.9,13,21,ChIJc_gzOtf-zpQRugnevza9rhQ
#3doze Podcast Estúdio,+55 11 97413-2425,celular,Ipiranga,Estúdio de gravação,5,13,22,ChIJH4CaNi9bzpQRR5YwGp6ZZwY
Groove Music,+55 11 95556-0229,celular,Grajaú,Escola de Música,3.7,13,19,ChIJMXrYqxVPzpQR4nsAt9dZuE0
Sommarsom Instrumentos e Artigos Musicais Ltda,+55 11 5523-9953,fixo,Santo Amaro,Loja de Instrumentos Musicais,4.4,233,72,ChIJQUfPQlJQzpQRKu_M4VVkW9w
High Five,+55 11 5543-3745,fixo,Moema,Estúdio de gravação,4.6,141,38,ChIJcbySoAxazpQReb4SduIrw2s
Estúdios de Gravações Guidon Ltda.,+55 11 3277-7501,fixo,Cambuci,Estúdio de gravação,4.9,109,52,ChIJBy-WdHFZzpQRESiOVXy64FQ
DRUIDA SOUND STUDIO,+55 11 2967-1418,fixo,Vila Maria,Estúdio de gravação,4.8,59,25,ChIJkYSNAjFfzpQRzzsB1HFZKJs
Galpão 75 Produções,+55 11 3294-5326,fixo,Terceira Divisão de Interlagos,Estúdio de gravação,4.8,58,82,ChIJQXrw3S1PzpQRrWbNyJiYCho
Sigma Estúdio e Produções de Áudio,+55 11 3672-2147,fixo,Perdizes,Estúdio de gravação,4.9,55,2,ChIJ9zpXmsJXzpQRcd3V-cOZO9E
ESL Brasil,+55 11 2291-9373,fixo,Brás,Estúdio de gravação,4.7,54,12,ChIJuzdsl8tezpQRGrG3aqcmN9Q
Estúdios Luau da Praia,+55 11 3824-0907,fixo,Barra Funda,Estúdio de gravação,4.8,40,6,ChIJjSq6TRJYzpQRogHU6BWBsu0
Cia Casa da Sogra - Estudio Musical,+55 11 3501-4844,fixo,Jardim das Vertentes,,4.9,31,2,ChIJUwQ0OodWzpQRTTA4kBD4EV8
Oreste Sinatra Conserv Dramatico Musical,+55 11 2297-0529,fixo,São Miguel Paulista,Escola de Música,4.3,31,6,ChIJ_e0-VmNhzpQRK4jniQHYaj0
High Music - Academia Livre de Ensino Musical e Artístico,+55 11 3423-3680,fixo,Jardim Vivan,Escola de Música,4.9,30,21,ChIJ9Rnt-vT7zpQRw9YKx3XEytY
Art & Music - Escola de Música,+55 11 3943-4703,fixo,Jaraguá,Escola de Música,5,29,6,ChIJewY6GpP7zpQRmUtuWUSOAik
Escola de Musica CEM Carlos Gomes,+55 11 2950-6011,fixo,Tucuruvi,Escola de Música,5,24,4,ChIJN7czQRf2zpQRKfLSp_mUKYQ
El Elyon Instituto de Música,+55 11 2367-0185,fixo,Piqueri,Escola de Música,5,18,13,ChIJcYXZQYj5zpQRFlwjff8cct4
Espaço Ruby Ananda,+55 11 3751-0231,fixo,Jardim Celeste,Escola de Música,4.8,17,2,ChIJ_8rFdS9UzpQRp9PBnW2eukE
Tony Music / Loja e Escola de Música,+55 11 4171-2815,fixo,Jardim Bonifacio,Escola de Música,5,17,23,ChIJ_W0JNCZkzpQRzf3px2PUR3U
LB Music Escola de Música,+55 11 5812-8330,fixo,Jardim Germania,Escola de Música,5,13,40,ChIJh5-ySsNTzpQRH0xycwMwUvo
EMBS - Escola de Música Bom Sucesso,+55 11 5524-3370,fixo,Santo Amaro,Escola de Música,4.4,13,6,ChIJY5AnfbRRzpQRdXNa5WLkopw
Estúdio Manilha,+55 11 5581-3698,fixo,São Judas,Estúdio de gravação,4.4,13,35,ChIJmWZU11VazpQRyi4IrElH2f4
Estúdio para Ensaios Turbo-ig,+55 11 2275-2957,fixo,Jabaquara,Estúdio de gravação,5,12,3,ChIJj6muwfNazpQRHw-VES-scjA
