"Nome","WhatsApp","LinkWhatsApp","Status","PerfilGoogle","Endereco","Categoria","Avaliacao","NumAvaliacoes","NumFotos"
"Zion Studio","+55 11 96686-3858","https://wa.me/5511966863858","sem site","https://www.google.com/maps/search/?api=1&query=Zion%20Studio&query_place_id=ChIJE6pZdBdPzpQR-KZdRUtQDlM","Rua Américo Cioffi, 104 - Interlagos, São Paulo - SP, 04815-230, Brasil","Estúdio de gravação","4,9","19","14"
"G.Borges Escola de Música","+55 11 97892-3853","https://wa.me/5511978923853","sem site","https://www.google.com/maps/search/?api=1&query=G.Borges%20Escola%20de%20M%C3%BAsica&query_place_id=ChIJ1YgwEd77zpQRdEDs-u3OwIM","Av. Pinheirinho d'Água, 257 - Parque Panamericano, São Paulo - SP, 02992-030, Brasil","Escola de Música","5","18","11"
"Estúdio MPT Produções e Eventos","+55 11 98440-6127","https://wa.me/5511984406127","sem site","https://www.google.com/maps/search/?api=1&query=Est%C3%BAdio%20MPT%20Produ%C3%A7%C3%B5es%20e%20Eventos&query_place_id=ChIJS2Sv4n5WzpQREv9DNkg6fHs","Av. Mal. Fiuza de Castro, 207 - Sl 02 - Jardim Pinheiros, São Paulo - SP, 05596-000, Brasil","Estúdio de gravação","4,8","17","13"
"Escola de Música • Professor de Música • Elson Perto","+55 11 96837-9061","https://wa.me/5511968379061","sem site","https://www.google.com/maps/search/?api=1&query=Escola%20de%20M%C3%BAsica%20%E2%80%A2%20Professor%20de%20M%C3%BAsica%20%E2%80%A2%20Elson%20Perto&query_place_id=ChIJLSbgaKBTzpQRko4j5C4ccfE","R. Antônio Carneiro, 196 - Sl 2 Fundos - Vila Prel, São Paulo - SP, 05780-750, Brasil","Professor de música","5","14","45"
"Estudio Clandestino","+55 11 99587-3334","https://wa.me/5511995873334","sem site","https://www.google.com/maps/search/?api=1&query=Estudio%20Clandestino&query_place_id=ChIJsZwWT-73zpQRfLekGSUe6og","Tv. Carnaval de Veneza, 163 - Parada Inglesa, São Paulo - SP, 02307-160, Brasil","Estúdio de gravação","4,8","14","4"
"Conservatório Musical Mozart","+55 11 95226-2195","https://wa.me/5511952262195","sem site","https://www.google.com/maps/search/?api=1&query=Conservat%C3%B3rio%20Musical%20Mozart&query_place_id=ChIJU2Rp47lPzpQRV2OTGvFqBr8","R. Curumau, 22 - Interlagos, São Paulo - SP, 04810-150, Brasil","Escola de Música","4,8","14","5"
"Sigo Som","+55 11 98359-0645","https://wa.me/5511983590645","sem site","https://www.google.com/maps/search/?api=1&query=Sigo%20Som&query_place_id=ChIJY7hQQGZgzpQR6xbyMlOfuD8","Travessa Elegia de Agosto, 4 - Vila Silvia, São Paulo - SP, 03821-035, Brasil","Estúdio de gravação","4,9","13","15"
"Metamorfose Records","+55 11 93491-7653","https://wa.me/5511934917653","sem site","https://www.google.com/maps/search/?api=1&query=Metamorfose%20Records&query_place_id=ChIJGUZDBT9PzpQRTp5dQ9Uswao","n° 1430 - R. Frederico René de Jaegher, sala 03 e 04 - Jardim Sertaozinho, São Paulo - SP, 04826-222, Brasil","Estúdio de gravação","5","12","40"
"Escolas de Música - Jeziel Lee","+55 11 93486-8471","https://wa.me/5511934868471","sem site","https://www.google.com/maps/search/?api=1&query=Escolas%20de%20M%C3%BAsica%20-%20Jeziel%20Lee&query_place_id=ChIJHeqBdGNFzpQRl7UpjWJWbAk","R. Francisco Inácio Solano, Nº05 - Grajaú, São Paulo - SP, 04849-501, Brasil","Escola de Música","4,4","10","12"
"Violão com Rafa Mayta","+55 11 98759-5011","https://wa.me/5511987595011","sem site","https://www.google.com/maps/search/?api=1&query=Viol%C3%A3o%20com%20Rafa%20Mayta&query_place_id=ChIJ7ZdenChhzpQRQ0C-KqC4TXk","R. Gramal, 38 - Cs 03 - Vila Uniao (Zona Leste), São Paulo - SP, 03683-060, Brasil","Professor de violão","5","10","6"
"Produção","+55 11 98086-6544","https://wa.me/5511980866544","sem site","https://www.google.com/maps/search/?api=1&query=Produ%C3%A7%C3%A3o&query_place_id=ChIJm1AsxbVTzpQR8fP0T0jWTE0","R. Emília Marengo, 260 - Tatuapé, São Paulo - SP, 03336-000, Brasil","Estúdio de gravação","5","10","13"
"Escola de Música Carlos Aleixo","+55 11 99691-5000","https://wa.me/5511996915000","sem site","https://www.google.com/maps/search/?api=1&query=Escola%20de%20M%C3%BAsica%20Carlos%20Aleixo&query_place_id=ChIJI6qwLBFJzpQRZ449xH3BRS4","Av. Professor Hermógenes de Freitas Leitão Filho, 1383 - Parelheiros, São Paulo - SP, 04865-000, Brasil","Escola de Música","5","9","3"
"KLAP produtora","+55 11 94147-7810","https://wa.me/5511941477810","sem site","https://www.google.com/maps/search/?api=1&query=KLAP%20produtora&query_place_id=ChIJ3Xc4_yhczpQRoVL7YG_M52o","R. Prof. Carlos Zagotis, 5 - Tatuapé, São Paulo - SP, 03314-020, Brasil","Estúdio de gravação","4,8","9","45"
"Espaço Musical Mike Souza","+55 11 96016-5444","https://wa.me/5511960165444","sem site","https://www.google.com/maps/search/?api=1&query=Espa%C3%A7o%20Musical%20Mike%20Souza&query_place_id=ChIJo2JAoFFJzpQRfZD_UTcl7T0","R. Bahia, 71 - Jardim Marcelo, São Paulo - SP, 04866-007, Brasil","Escola de Música","4,9","7","2"
"Escola Fábrica da Música Unidade Metrô Belém (Belenzinho)","+55 11 96764-4363","https://wa.me/5511967644363","sem site","https://www.google.com/maps/search/?api=1&query=Escola%20F%C3%A1brica%20da%20M%C3%BAsica%20Unidade%20Metr%C3%B4%20Bel%C3%A9m%20(Belenzinho)&query_place_id=ChIJ5VtBW9BezpQRlhhv_cruVtI","R. Irmã Carolina, 414 - Belenzinho, São Paulo - SP, 03058-040, Brasil","Escola de Música","4,3","7","23"
"Gig Camp Castillo Studio","+55 11 97331-0625","https://wa.me/5511973310625","sem site","https://www.google.com/maps/search/?api=1&query=Gig%20Camp%20Castillo%20Studio&query_place_id=ChIJYf0MUChfzpQR1Qkvw98F-Nw","R. Sete de Outubro, 34 - Chácara Califórnia, São Paulo - SP, 03407-050, Brasil","Estúdio de gravação","5","6","15"
"Digital Dream","+55 11 98787-1383","https://wa.me/5511987871383","sem site","https://www.google.com/maps/search/?api=1&query=Digital%20Dream&query_place_id=ChIJMbvFn5BfzpQRg37U5547uYA","R. João Colaneri, 46 - Vila Gomes Cardim, São Paulo - SP, 03322-020, Brasil","Estúdio de gravação","5","5","10"
